ПІБ лікаря,person_gender,person_age,n_visits
Азаров Сергій Олексійович,жіноча,y65+,611
Азаров Сергій Олексійович,чоловіча,y6-17,2
Азаров Сергій Олексійович,чоловіча,y18-39,771
Азаров Сергій Олексійович,чоловіча,y40-64,788
Азаров Сергій Олексійович,чоловіча,y65+,348
Айрапетова Ольга Вікторівна,жіноча,y18-39,331
Айрапетова Ольга Вікторівна,жіноча,y40-64,916
Айрапетова Ольга Вікторівна,жіноча,y65+,913
Айрапетова Ольга Вікторівна,чоловіча,y6-17,4
Айрапетова Ольга Вікторівна,чоловіча,y18-39,398
Айрапетова Ольга Вікторівна,чоловіча,y40-64,564
Айрапетова Ольга Вікторівна,чоловіча,y65+,346
Айтул Р.Ф.,жіноча,y6-17,1
Айтул Р.Ф.,жіноча,y18-39,652
Айтул Р.Ф.,жіноча,y40-64,1098
Айтул Р.Ф.,жіноча,y65+,1028
Айтул Р.Ф.,чоловіча,y6-17,4
Айтул Р.Ф.,чоловіча,y18-39,802
Айтул Р.Ф.,чоловіча,y40-64,982
Айтул Р.Ф.,чоловіча,y65+,440
Акулова Людмила Володимирівна,жіноча,y0-5,982
Акулова Людмила Володимирівна,жіноча,y6-17,1950
Акулова Людмила Володимирівна,жіноча,y18-39,4
Акулова Людмила Володимирівна,жіноча,y40-64,1
Акулова Людмила Володимирівна,жіноча,y65+,1
Акулова Людмила Володимирівна,чоловіча,y0-5,1004
Акулова Людмила Володимирівна,чоловіча,y6-17,1692
Акулова Людмила Володимирівна,чоловіча,y18-39,1
Акулова Людмила Володимирівна,чоловіча,y40-64,1
Акішина Людмила Григорівна,жіноча,y6-17,4
Акішина Людмила Григорівна,жіноча,y18-39,314
Акішина Людмила Григорівна,жіноча,y40-64,735
Акішина Людмила Григорівна,жіноча,y65+,981
Акішина Людмила Григорівна,чоловіча,y6-17,1
Акішина Людмила Григорівна,чоловіча,y18-39,176
Акішина Людмила Григорівна,чоловіча,y40-64,440
Акішина Людмила Григорівна,чоловіча,y65+,286
Арсеньєва Марина Віталіївна,жіноча,y6-17,3
Арсеньєва Марина Віталіївна,жіноча,y18-39,55
Арсеньєва Марина Віталіївна,жіноча,y40-64,61
Арсеньєва Марина Віталіївна,жіноча,y65+,79
Арсеньєва Марина Віталіївна,чоловіча,y18-39,67
Арсеньєва Марина Віталіївна,чоловіча,y40-64,46
Арсеньєва Марина Віталіївна,чоловіча,y65+,33
Артемова Світлана Федорівна,жіноча,y0-5,28
Артемова Світлана Федорівна,жіноча,y6-17,57
Артемова Світлана Федорівна,жіноча,y18-39,4
Артемова Світлана Федорівна,жіноча,y40-64,8
Артемова Світлана Федорівна,жіноча,y65+,4
Артемова Світлана Федорівна,чоловіча,y0-5,26
Артемова Світлана Федорівна,чоловіча,y6-17,126
Артемова Світлана Федорівна,чоловіча,y40-64,2
Артемова Світлана Федорівна,чоловіча,y65+,1
Архипова Антоніна Олександрівна,жіноча,y18-39,74
Архипова Антоніна Олександрівна,жіноча,y40-64,238
Архипова Антоніна Олександрівна,жіноча,y65+,227
Архипова Антоніна Олександрівна,чоловіча,y18-39,57
Архипова Антоніна Олександрівна,чоловіча,y40-64,124
Архипова Антоніна Олександрівна,чоловіча,y65+,103
Аріошкіна Ірина Володимирівна,жіноча,y6-17,3
Аріошкіна Ірина Володимирівна,жіноча,y18-39,359
Аріошкіна Ірина Володимирівна,жіноча,y40-64,647
Аріошкіна Ірина Володимирівна,жіноча,y65+,615
Аріошкіна Ірина Володимирівна,чоловіча,y18-39,300
Аріошкіна Ірина Володимирівна,чоловіча,y40-64,468
Аріошкіна Ірина Володимирівна,чоловіча,y65+,323
Бабкова Т.А.,жіноча,y6-17,3
Бабкова Т.А.,жіноча,y18-39,502
Бабкова Т.А.,жіноча,y40-64,894
Бабкова Т.А.,жіноча,y65+,819
Бабкова Т.А.,чоловіча,y6-17,2
Бабкова Т.А.,чоловіча,y18-39,474
Бабкова Т.А.,чоловіча,y40-64,653
Бабкова Т.А.,чоловіча,y65+,365
Бабіна Галина Михайлівна,жіноча,y6-17,2
Бабіна Галина Михайлівна,жіноча,y18-39,544
Бабіна Галина Михайлівна,жіноча,y40-64,1041
Бабіна Галина Михайлівна,жіноча,y65+,1074
Бабіна Галина Михайлівна,чоловіча,y6-17,1
Бабіна Галина Михайлівна,чоловіча,y18-39,643
Бабіна Галина Михайлівна,чоловіча,y40-64,791
Бабіна Галина Михайлівна,чоловіча,y65+,428
Байбекова Ніна Олексіївна,жіноча,y0-5,458
Байбекова Ніна Олексіївна,жіноча,y6-17,981
Байбекова Ніна Олексіївна,жіноча,y18-39,6
Байбекова Ніна Олексіївна,жіноча,y40-64,2
Байбекова Ніна Олексіївна,чоловіча,y0-5,586
Байбекова Ніна Олексіївна,чоловіча,y6-17,1141
Байбекова Ніна Олексіївна,чоловіча,y18-39,1
Байбекова Ніна Олексіївна,чоловіча,y65+,2
Баланда Олена Вікторівна,жіноча,y0-5,775
Баланда Олена Вікторівна,жіноча,y6-17,723
Баланда Олена Вікторівна,чоловіча,y0-5,993
Баланда Олена Вікторівна,чоловіча,y6-17,815
Баланда Олена Вікторівна,чоловіча,y18-39,2
Баланда Олена Вікторівна,чоловіча,y40-64,1
Барабанов Евген Семенович,жіноча,y18-39,15
Барабанов Евген Семенович,жіноча,y40-64,27
Барабанов Евген Семенович,жіноча,y65+,16
Барабанов Евген Семенович,чоловіча,y18-39,20
Барабанов Евген Семенович,чоловіча,y40-64,11
Барабанов Евген Семенович,чоловіча,y65+,6
Барабаш Ольга Григорівна,жіноча,y0-5,533
Барабаш Ольга Григорівна,жіноча,y6-17,940
Барабаш Ольга Григорівна,жіноча,y18-39,6
Барабаш Ольга Григорівна,жіноча,y40-64,2
Барабаш Ольга Григорівна,чоловіча,y0-5,739
Барабаш Ольга Григорівна,чоловіча,y6-17,1002
Барабаш Ольга Григорівна,чоловіча,y18-39,2
Барабаш Ольга Григорівна,чоловіча,y40-64,1
Бараненко Наталя Вікторівна ,жіноча,y18-39,12
Бараненко Наталя Вікторівна ,жіноча,y40-64,26
Бараненко Наталя Вікторівна ,жіноча,y65+,14
Бараненко Наталя Вікторівна ,чоловіча,y18-39,6
Бараненко Наталя Вікторівна ,чоловіча,y40-64,21
Бараненко Наталя Вікторівна ,чоловіча,y65+,6
Безобразова Ірина Леонідівна,жіноча,y0-5,1
Безобразова Ірина Леонідівна,жіноча,y6-17,51
Безобразова Ірина Леонідівна,жіноча,y18-39,619
Безобразова Ірина Леонідівна,жіноча,y40-64,1656
Безобразова Ірина Леонідівна,жіноча,y65+,710
Безобразова Ірина Леонідівна,чоловіча,y6-17,21
Безобразова Ірина Леонідівна,чоловіча,y18-39,680
Безобразова Ірина Леонідівна,чоловіча,y40-64,971
Безобразова Ірина Леонідівна,чоловіча,y65+,297
Бейгуленко-Вороніна Тетяна Павлівна,жіноча,y6-17,1
Бейгуленко-Вороніна Тетяна Павлівна,жіноча,y18-39,560
Бейгуленко-Вороніна Тетяна Павлівна,жіноча,y40-64,1156
Бейгуленко-Вороніна Тетяна Павлівна,жіноча,y65+,964
Бейгуленко-Вороніна Тетяна Павлівна,чоловіча,y18-39,775
Бейгуленко-Вороніна Тетяна Павлівна,чоловіча,y40-64,848
Бейгуленко-Вороніна Тетяна Павлівна,чоловіча,y65+,388
Бельченко Світлана Георгіївна,жіноча,y6-17,1
Бельченко Світлана Георгіївна,жіноча,y18-39,121
Бельченко Світлана Георгіївна,жіноча,y40-64,352
Бельченко Світлана Георгіївна,жіноча,y65+,781
Бельченко Світлана Георгіївна,чоловіча,y0-5,1
Бельченко Світлана Георгіївна,чоловіча,y18-39,163
Бельченко Світлана Георгіївна,чоловіча,y40-64,283
Бельченко Світлана Георгіївна,чоловіча,y65+,313
Бендас Галина Василівна,жіноча,y0-5,1333
Бендас Галина Василівна,жіноча,y6-17,1528
Бендас Галина Василівна,жіноча,y40-64,1
Бендас Галина Василівна,жіноча,y65+,2
Бендас Галина Василівна,чоловіча,y0-5,1215
Бендас Галина Василівна,чоловіча,y6-17,1932
Бендас Галина Василівна,чоловіча,y18-39,3
Бендас Галина Василівна,чоловіча,y40-64,1
Беспала Наталія Миколаївна ,жіноча,y0-5,633
Беспала Наталія Миколаївна ,жіноча,y6-17,1009
Беспала Наталія Миколаївна ,жіноча,y18-39,1
Беспала Наталія Миколаївна ,жіноча,y65+,1
Беспала Наталія Миколаївна ,чоловіча,y0-5,522
Беспала Наталія Миколаївна ,чоловіча,y6-17,1185
Беспала Наталія Миколаївна ,чоловіча,y65+,1
Бляшинська Л.І.,жіноча,y0-5,1
Бляшинська Л.І.,жіноча,y6-17,11
Бляшинська Л.І.,жіноча,y18-39,362
Бляшинська Л.І.,жіноча,y40-64,1204
Бляшинська Л.І.,жіноча,y65+,1334
Бляшинська Л.І.,чоловіча,y0-5,2
Бляшинська Л.І.,чоловіча,y6-17,6
Бляшинська Л.І.,чоловіча,y18-39,278
Бляшинська Л.І.,чоловіча,y40-64,604
Бляшинська Л.І.,чоловіча,y65+,442
Богданович Михайло Адамович,жіноча,y0-5,141
Богданович Михайло Адамович,жіноча,y6-17,468
Богданович Михайло Адамович,жіноча,y18-39,332
Богданович Михайло Адамович,жіноча,y40-64,759
Богданович Михайло Адамович,жіноча,y65+,854
Богданович Михайло Адамович,чоловіча,y0-5,187
Богданович Михайло Адамович,чоловіча,y6-17,713
Богданович Михайло Адамович,чоловіча,y18-39,423
Богданович Михайло Адамович,чоловіча,y40-64,493
Богданович Михайло Адамович,чоловіча,y65+,472
Богинська Ольга Василівна ,жіноча,y18-39,205
Богинська Ольга Василівна ,жіноча,y40-64,806
Богинська Ольга Василівна ,жіноча,y65+,697
Богинська Ольга Василівна ,чоловіча,y18-39,201
Богинська Ольга Василівна ,чоловіча,y40-64,374
Богинська Ольга Василівна ,чоловіча,y65+,331
